Number,Hemisphere,Stage,Relative mean local field potential,Increase or decrease in sleep,Relative depth %,Relative standard deviation %
3,right,deep,2.0,decrease,5.05591658758663%,8.264884455427177%
3,right,rem,3.0,increase,-3.2301785960690554%,4.966255014693525%
3,right,light,7.000000000000001,increase,-2.356087787635768%,8.01476288439673%
4,left,light,2.0,decrease,1.164129094625421%,0.6457596175219613%
4,left,light,5.0,decrease,7.509972113382041%,18.5030027593121%
4,left,deep,3.0,increase,-16.171977302487996%,36.447158033510966%
4,left,light,5.0,decrease,2.8556780983460164%,29.782183583588683%
4,left,rem,5.0,increase,-42.605601987802125%,26.48163921466566%
4,left,light,2.0,increase,-2.111181806075488%,0.45182541928852876%
4,left,light,6.0,increase,-6.295178115179202%,20.348757683609602%
4,left,rem,2.0,increase,-4.578947368421055%,10.149858103156186%
4,left,light,12.0,increase,-1.8893387314439944%,12.196013478227618%
4,left,rem,4.0,decrease,42.52724132268706%,7.518796992481203%
4,left,light,11.0,increase,-4.093027691507876%,20.413106126862385%
4,left,light,2.0,increase,-24.078985109777033%,24.732882929394933%
4,left,deep,7.0,increase,-8.55464579134154%,24.435288485424486%
4,left,light,16.0,decrease,5.043150257497311%,20.244478123979484%
4,left,rem,2.0,increase,-23.761973896628287%,14.468851628239584%
4,left,rem,6.0,decrease,2.751696184399737%,8.45971190796488%
4,left,light,3.0,decrease,2.6988360249123233%,3.5870874712964915%
4,left,restless,2.0,increase,-1.541349050259256%,26.51650429449553%
4,left,restless,2.0,decrease,1.44132726269638%,0.0%
4,left,restless,3.0,increase,-3.0426156543701186%,8.18995604083452%
4,left,restless,3.0,increase,-2.792494970962248%,8.689660757568884%
4,left,light,9.0,decrease,1.5364956655841302%,11.354670464992441%
4,left,rem,6.0,decrease,4.876920064788286%,27.276857597869775%
4,left,deep,2.0,decrease,3.6076448194050275%,5.892556509887895%
4,left,deep,3.0,increase,-7.779848186931276%,12.374987122442292%
4,left,light,6.0,increase,-1.4888106584987884%,5.772930008991323%
4,left,light,7.0,increase,-2.5585109650469877%,12.678702887257556%
4,left,rem,5.0,increase,-0.9125130707563535%,12.927727014427115%
4,left,light,3.0,increase,-9.228112809362402%,13.45118498615386%
4,right,light,2.0,decrease,15.470193631356983%,3.8825720215583273%
4,right,light,5.0,increase,-7.075717661234332%,12.76493591719274%
4,right,deep,3.0,increase,-20.85362228576281%,11.551833837269783%
4,right,light,5.0,decrease,3.774789042040156%,15.208492345265205%
4,right,rem,5.0,decrease,36.67258248463459%,33.26855728413655%
4,right,light,2.0,decrease,7.5293853162399245%,40.783049049122646%
4,right,light,6.0,decrease,5.8539266065614886%,25.706731294456077%
4,right,rem,2.0,decrease,8.042305144947766%,20.390986248170208%
4,right,light,12.0,increase,-43.81421358539308%,30.268966930005014%
4,right,rem,4.0,increase,-29.440773547477477%,12.947766027618792%
4,right,light,11.000000000000002,decrease,14.223047917325873%,40.49052306200989%
4,right,light,2.0,increase,-1.5910140653489586%,8.042252050741578%
4,right,deep,7.000000000000001,increase,-3.4713915535676176%,16.852022751650246%
4,right,light,16.0,increase,-14.8079091444871%,23.610919464192488%
4,right,rem,2.0,decrease,42.649986947054764%,41.87221577998714%
4,right,rem,6.0,decrease,3.2305601740749723%,24.490956785312818%
4,right,light,3.0,increase,-84.39205146029539%,43.42786031362043%
4,right,restless,2.0,increase,-11.155087126765421%,42.18021882358438%
4,right,restless,2.0,decrease,0.8328701065363271%,1.5830748832534645%
4,right,restless,3.0,decrease,6.608047059696324%,7.956114782711259%
4,right,restless,3.0,decrease,0.4563296432207779%,9.926989253910792%
4,right,light,9.0,decrease,37.61148077843167%,21.128188071433552%
4,right,rem,6.0,increase,-52.28263209865545%,29.95019944409793%
4,right,deep,2.0,decrease,5.814384960057005%,4.982815242185793%
4,right,deep,3.0,decrease,13.622859424723968%,23.32408541247169%
4,right,light,6.0,increase,-4.595019973425242%,34.15795371003264%
4,right,light,6.999999999999999,increase,-3.555657282508007%,11.414064557211784%
4,right,rem,5.0,decrease,8.098860223629567%,16.301968000815037%
4,right,light,3.0,decrease,3.9544494317488943%,5.148727972331999%
5,right,light,5.0,decrease,47.13452049287757%,35.14264128608781%
5,right,deep,2.0,increase,-153.99463721399275%,55.35693163077126%
5,right,light,3.0,decrease,43.52958282498795%,10.303491465431042%
5,right,deep,2.0,increase,-106.52272396485895%,16.164526727382718%
5,right,light,4.0,decrease,3.4539488167683396%,39.91347072011984%
5,right,rem,3.0,decrease,12.951568796647205%,15.458026877119051%
5,right,light,4.0,decrease,49.02402184032068%,9.585309804955786%
5,right,deep,2.0,increase,-6.044426229796901%,43.55934038801107%
5,right,light,10.0,decrease,17.468088543873435%,53.67548246949022%
5,right,light,11.0,increase,-53.01897961341455%,119.42657070780595%
5,right,rem,3.0,decrease,18.774592481497766%,2.270958261746782%
5,right,light,2.0,increase,-10.789876944508935%,6.065866995472835%
5,right,light,8.0,increase,-10.758753438139609%,62.225409167898874%
5,right,restless,4.0,decrease,3.24494094950183%,90.6752018690249%
5,right,light,11.0,decrease,20.10808497766249%,140.31823972538982%
5,right,deep,6.0,decrease,50.10278666141777%,45.65798128872194%
5,right,light,4.0,increase,-39.492128874480294%,48.035187614753845%
5,right,deep,4.0,increase,-82.92631870478674%,64.72110242228672%
5,right,deep,2.0,decrease,12.579605026078688%,3.7718278255950137%
5,right,light,6.0,decrease,4.1945496577364905%,48.745521378751356%
5,right,rem,2.0,increase,-52.71167849136022%,41.56074210471838%
5,right,light,9.0,decrease,59.86821224427731%,8.850786337342658%
5,right,light,4.0,decrease,59.99836859917681%,93.4326222870391%
5,right,light,10.0,increase,-13.384450048802371%,129.90309779994863%
5,right,light,3.0,increase,-0.3865004669205963%,33.95914478618915%
5,right,deep,9.0,increase,-353.5466124008799%,191.777104303105%
5,right,light,8.0,decrease,66.2309679956644%,24.485339384065664%
5,right,rem,5.0,decrease,41.24531832296887%,74.78743454640114%
5,right,light,25.0,decrease,99.3794519508154%,125.54657818853481%
5,right,deep,7.0,increase,-176.87462362587365%,60.58847349076104%
5,right,light,8.0,decrease,0.7406803196037701%,65.88209003203397%
5,right,light,2.0,increase,-14.512106024405352%,8.104486825773975%
5,right,rem,3.0,increase,-3.1197017783135266%,13.526730806025231%
6,left,deep,2.0,increase,-10.573599056279704%,5.261722843637651%
6,left,light,3.0,increase,-59.10463319631779%,26.947936621171632%
6,left,light,3.0,increase,-14.414672040730597%,7.142102962774577%
6,left,rem,3.0,increase,-20.193293119778094%,12.363989854496001%
6,left,light,28.000000000000004,increase,-34.58355111939426%,27.245603790901356%
6,left,light,6.999999999999999,increase,-1.109996208228544%,13.25512211105169%
6,left,light,2.0,increase,-40.98911735240039%,24.944361195565847%
6,left,light,7.0,increase,-22.516887717967595%,39.549293501881635%
6,left,rem,2.0,increase,-49.7144648532293%,0.002807977576064297%
