Number,Hemisphere,Stage,Relative mean local field potential,Increase or decrease in sleep,Relative depth %,Relative standard deviation %
9,left,deep,2.0,decrease,3.0644029122780503%,0.3396830013706393%
9,left,light,6.0,decrease,4.428225838728518%,5.331233371099951%
9,left,rem,7.0,decrease,28.76410665518958%,31.537312622510715%
9,left,light,12.0,increase,-13.99362896038081%,26.271784369787632%
9,left,light,5.0,decrease,34.892447677617234%,26.194156809446774%
9,left,light,2.0,decrease,33.39595679633673%,11.152512519708303%
9,left,deep,4.0,increase,-0.25773862363611494%,15.392340792526701%
9,left,light,3.0,increase,-5.259229596191267%,11.099580435985356%
9,left,deep,2.0,decrease,22.768060950328174%,75.58148492492789%
9,left,light,6.999999999999999,increase,-6.722315931772176%,29.540715662048108%
9,left,rem,9.0,decrease,36.32035927835742%,47.7388659584496%
9,left,rem,3.0,decrease,3.405512778088303%,6.683000570122457%
9,left,rem,2.0,increase,-19.70183437145487%,21.03788770472373%
9,left,light,3.0,increase,-3.0424511998478643%,6.8308079170828%
9,left,light,9.0,decrease,4.833724876569431%,46.17108830578996%
9,left,deep,2.0,increase,-8.514091552856998%,15.217268741324533%
9,left,light,12.0,increase,-3.814860973560345%,23.496875634442368%
9,left,light,8.0,decrease,3.9320181554394567%,13.990381880230457%
9,left,light,6.0,decrease,40.579368969732194%,8.27531517926165%
9,left,deep,3.0,increase,-36.32452342572385%,57.05104511616048%
9,left,light,4.0,increase,-9.513768674875877%,76.0912348650302%
9,left,light,5.0,decrease,5.860716840685396%,15.154181792747679%
9,left,rem,13.0,decrease,22.37943701843817%,31.99976994567778%
9,left,rem,3.0,decrease,22.070475315799857%,23.849147651402134%
9,left,light,2.0,increase,-0.816476487387286%,2.9874788137009745%
9,left,deep,2.0,decrease,25.488691083082255%,54.81076292587249%
9,left,light,4.0,decrease,10.075577531044056%,16.45105777422318%
9,left,light,5.0,increase,-0.6926648807304843%,12.000315582098196%
10,left,light,2.0,increase,-12.010068864962134%,21.175390238741528%
10,left,light,8.0,decrease,21.394944168725008%,42.9626334935525%
10,left,light,3.0,increase,-3.839516012626841%,7.051282051282051%
10,left,light,7.0,increase,-30.555140110674508%,26.368171058978046%
10,left,rem,3.0,increase,-31.1490278560338%,31.818181818181817%
10,left,light,20.0,decrease,22.128983577934594%,39.11519696016031%
10,left,deep,5.0,increase,-8.482444468385669%,28.213065996240772%
10,left,light,9.0,increase,-15.159940719610226%,26.109272584036493%
10,left,deep,4.0,decrease,5.068708023302574%,8.016318956227703%
10,left,light,9.0,increase,-13.635589772925123%,25.025622321176844%
10,left,light,5.0,increase,-14.794885684987225%,15.6844075582868%
10,left,rem,5.0,decrease,6.169228362178787%,4.492429196407925%
10,left,light,6.0,decrease,63.580530977218594%,53.761395167343665%
10,left,light,3.0,increase,-27.003164556962023%,20.044517083694053%
10,left,deep,3.0,decrease,1.5209788870666179%,18.412742945182462%
10,left,rem,6.0,increase,-7.311654471762939%,24.987420987659274%
10,left,light,5.0,decrease,21.83761698893059%,41.2874691384931%
10,left,rem,2.0,decrease,15.753055160745626%,30.935921676911455%
10,left,light,7.0,increase,-12.32139659399354%,41.69096753057154%
10,left,rem,2.0,decrease,7.846582146383669%,9.598734586242728%
10,left,light,8.0,decrease,48.527303823738464%,11.11632745943321%
10,left,deep,5.0,decrease,20.50398255637671%,41.80287835593625%
10,left,light,3.0,increase,-72.45906925124478%,34.11803129224686%
10,left,deep,2.0,increase,-2.119160878786818%,5.378440841239959%
10,left,rem,2.0,decrease,22.81264889218955%,31.77735448900093%
10,left,light,5.0,decrease,19.71686391536111%,26.037366311600035%
10,left,rem,4.0,increase,-27.130775337629913%,17.385583205672468%
10,left,light,23.0,decrease,3.8744404296300696%,30.078287456876453%
10,left,light,26.0,increase,-3.308415391208621%,66.79056343521242%
10,left,light,4.0,decrease,17.717121745825306%,43.99286900146521%
10,left,deep,2.0,decrease,11.772446820086783%,8.22815163562528%
10,left,deep,2.0,decrease,23.17077264010506%,26.150591171756403%
10,left,light,3.0,increase,-20.47850527322777%,28.88043973240149%
10,left,deep,2.0,decrease,11.233264004164955%,14.974025954538654%
10,left,light,5.0,increase,-6.18479081933101%,16.744183993859675%
10,left,rem,2.0,increase,-6.81207603297784%,5.527870602109817%
10,left,light,5.0,decrease,5.122723605449121%,25.308660221483294%
10,left,rem,2.0,increase,-38.33415348319391%,46.38620484583752%
10,left,light,4.0,decrease,2.7410547189949246%,44.16613117123557%
10,left,rem,2.0,decrease,1.7242030560165988%,2.0203050891044216%
10,left,light,6.0,increase,-0.6167189094192006%,9.723215693724034%
10,left,light,3.0,decrease,3.9753833098209275%,3.887696856907837%
10,left,deep,2.0,decrease,5.36277635930602%,8.495275816375482%
10,left,light,3.0,decrease,8.689973685043777%,8.573281015071995%
10,left,deep,2.0,increase,-5.004084284273173%,6.6871744630601695%
10,left,light,3.0,decrease,3.8539348792372876%,3.4069257193462343%
10,left,rem,3.0,decrease,9.364298650836442%,34.63984045767213%
10,left,light,2.0,decrease,3.7959480548299998%,5.201135693491243%
10,left,deep,2.0,increase,-4.120590786613021%,6.274667682884038%
10,right,light,2.0,decrease,5.659946632206083%,12.67792461218305%
10,right,light,8.0,decrease,4.875179933748743%,16.207993127811456%
10,right,light,3.0,increase,-8.0334339640015%,6.226056806775641%
10,right,light,6.999999999999999,increase,-383.17026610624333%,198.22717078896466%
10,right,rem,3.0,decrease,9.74847228823582%,6.9407177510676%
10,right,light,20.0,decrease,9.446269077294946%,72.34279588185419%
10,right,deep,5.0,decrease,7.676539314851845%,30.998240983273856%
10,right,light,9.0,decrease,1.361167080686219%,41.497870697362885%
10,right,deep,4.0,decrease,6.712259985944409%,9.739905100821499%
10,right,light,9.0,increase,-13.32518025750227%,58.58901243291845%
10,right,light,5.0,increase,-6.219399275573996%,3.4088108981733525%
10,right,rem,5.0,increase,-0.6108446174730926%,1.8691790622078672%
10,right,light,6.0,decrease,49.106199230383915%,42.00086304989032%
10,right,light,3.0,increase,-27.364980156278936%,17.063321769791067%
10,right,deep,3.0,decrease,16.222122281923408%,18.022978481712705%
10,right,rem,6.0,increase,-5.809367966345035%,10.664240131025343%
10,right,light,5.0,decrease,92.20495134786479%,17.984832069339113%
10,right,rem,2.0,increase,-147.80497846685796%,129.1841953170255%
10,right,light,7.0,increase,-51.30832394362533%,136.00497060891024%
10,right,rem,2.0,increase,-18.0236116190513%,12.348157958117632%
10,right,light,8.0,decrease,47.63435813158712%,12.63565704355771%
10,right,deep,5.0,decrease,27.682993211736534%,26.780006689236984%
10,right,light,3.0,increase,-61.04556013746622%,30.656893019711912%
10,right,deep,2.0,decrease,7.49675517968046%,4.275529374616334%
10,right,rem,2.0,decrease,5.188203662447114%,5.904557643309256%
10,right,light,5.0,increase,-14.5271334045294%,51.001111993410596%
10,right,rem,4.0,increase,-17.026648589651426%,9.95295084071344%
10,right,light,23.0,increase,-83.56314022630079%,159.33501261154663%
10,right,light,26.0,decrease,15.131598049996043%,205.97885602712682%
10,right,light,4.0,decrease,12.077033833715232%,42.199935960825066%
10,right,deep,2.0,decrease,5.796403373834819%,4.821614024735116%
10,right,deep,2.0,decrease,10.547960612845692%,18.61729037149569%
10,right,light,3.0,decrease,1.309072533271757%,2.3246442578049598%
10,right,deep,2.0,decrease,8.484777487254718%,18.274339421917166%
10,right,light,5.0,increase,-3.1176177699953853%,11.79299747034601%
10,right,rem,2.0,increase,-18.856018633155102%,18.42328399460946%
10,right,light,5.0,increase,-9.123923535189775%,21.304686515862702%
10,right,rem,2.0,increase,-34.69662741430245%,38.762170446200464%
10,right,light,4.0,increase,-7.747917023607201%,8.739178512568234%
10,right,rem,2.0,increase,-2.8233989131866952%,1.2457998754999533%
10,right,light,6.0,increase,-0.18526127730010475%,7.802268576743858%
10,right,light,3.0,decrease,15.729526825267614%,11.409933704673104%
10,right,deep,2.0,decrease,45.66112142256059%,129.0148240004752%
10,right,light,3.0,decrease,17.506148437852882%,20.301640910245432%
10,right,deep,2.0,decrease,1.1166249940694863%,3.5783181446183927%
10,right,light,3.0,decrease,10.217649503128008%,18.496468504803826%
10,right,rem,3.0,increase,-4.910545165800614%,54.52184482937391%
10,right,light,2.0,increase,-0.8110535005648354%,3.2104734673623043%
10,right,deep,2.0,increase,-36.19108529465875%,38.4742863051533%
